situation_id,situation_name,intent,emotion,risk_level,tone,category,response
S1,Острый тяговый импульс,craving_support,urge,high,grounding,situational,"Тяга может быть очень сильной, но она не будет длиться вечно."
S1,Острый тяговый импульс,craving_support,anxiety,high,soft,situational,"Ты не слабый человек — это реакция организма, а не твой характер."
S1,Острый тяговый импульс,craving_support,panic,high,grounding,situational,"Давай сосредоточимся только на ближайших десяти минутах."
S1,Острый тяговый импульс,craving_support,urge,high,neutral,situational,"Тяга похожа на волну — она поднимается и спадает."
S1,Острый тяговый импульс,craving_support,stress,high,soft,situational,"Ты не обязан бороться с этим в одиночку."
S1,Острый тяговый импульс,craving_support,urge,high,grounding,situational,"Можно просто переждать это чувство, не действуя на него."
S1,Острый тяговый импульс,craving_support,anxiety,high,soft,situational,"Ты уже сделал важный шаг, сказав об этом."
S1,Острый тяговый импульс,craving_support,urge,high,neutral,situational,"Сейчас не нужно решать всю жизнь."
S1,Острый тяговый импульс,craving_support,stress,high,grounding,situational,"Каждая минута без действия — это уже успех."
S1,Острый тяговый импульс,craving_support,urge,high,soft,situational,"Ты можешь выбрать заботу о себе прямо сейчас."
S1,Острый тяговый импульс,craving_support,panic,high,grounding,situational,"Давай замедлим дыхание вместе."
S1,Острый тяговый импульс,craving_support,urge,high,neutral,situational,"Тяга не говорит правду о твоих ценностях."
S1,Острый тяговый импульс,craving_support,stress,high,soft,situational,"Ты не обязан побеждать — достаточно выдержать."
S1,Острый тяговый импульс,craving_support,urge,high,neutral,situational,"Это тяжёлый момент, но он пройдёт."
S1,Острый тяговый импульс,craving_support,anxiety,high,soft,situational,"Ты сейчас не один в этом состоянии."
S2,Страх сорваться в будущем,relapse_fear,fear,medium,soft,situational,"Страх — естественная часть восстановления."
S2,Страх сорваться в будущем,relapse_fear,uncertainty,medium,neutral,situational,"Ты не обязан быть уверенным, чтобы продолжать путь."
S2,Страх сорваться в будущем,relapse_fear,fear,medium,soft,situational,"Достаточно справляться с сегодняшним днём."
S2,Страх сорваться в будущем,relapse_fear,anxiety,medium,neutral,situational,"Будущее не обязано повторять прошлое."
S2,Страх сорваться в будущем,relapse_fear,fear,medium,soft,situational,"Твой страх говорит о важности этого пути."
S2,Страх сорваться в будущем,relapse_fear,doubt,medium,neutral,situational,"Сомнения не отменяют прогресс."
S2,Страх сорваться в будущем,relapse_fear,anxiety,medium,soft,situational,"Ты можешь идти шаг за шагом."
S2,Страх сорваться в будущем,relapse_fear,fear,medium,neutral,situational,"Сегодняшний выбор важнее будущих тревог."
S2,Страх сорваться в будущем,relapse_fear,uncertainty,medium,soft,situational,"Никто не требует от тебя идеальной уверенности."
S2,Страх сорваться в будущем,relapse_fear,anxiety,medium,neutral,situational,"Ты не один с этими мыслями."
S2,Страх сорваться в будущем,relapse_fear,fear,medium,soft,situational,"Можно опираться на действия, а не на веру."
S2,Страх сорваться в будущем,relapse_fear,doubt,medium,neutral,situational,"Ты уже делаешь достаточно."
S2,Страх сорваться в будущем,relapse_fear,fear,medium,soft,situational,"Страх не управляет твоими решениями полностью."
S2,Страх сорваться в будущем,relapse_fear,anxiety,medium,neutral,situational,"Этот путь не требует спешки."
S2,Страх сорваться в будущем,relapse_fear,fear,medium,soft,situational,"Ты имеешь право бояться и продолжать."
S3,Чувство вины и стыда,shame_support,shame,medium,soft,situational,"Стыд не определяет твою ценность."
S3,Чувство вины и стыда,shame_support,self_blame,medium,soft,situational,"Ты — больше, чем твоя зависимость."
S3,Чувство вины и стыда,shame_support,shame,medium,neutral,situational,"Зависимость — не моральная слабость."
S3,Чувство вины и стыда,shame_support,self_criticism,medium,soft,situational,"Тебе не нужно наказывать себя."
S3,Чувство вины и стыда,shame_support,shame,medium,soft,situational,"Сочувствие к себе помогает восстановлению."
S3,Чувство вины и стыда,shame_support,guilt,medium,neutral,situational,"Ошибки не делают тебя плохим человеком."
S3,Чувство вины и стыда,shame_support,shame,medium,soft,situational,"Ты заслуживаешь поддержки, а не осуждения."
S3,Чувство вины и стыда,shame_support,self_blame,medium,soft,situational,"Ты не обязан быть идеальным."
S3,Чувство вины и стыда,shame_support,shame,medium,neutral,situational,"Стыд не диктует твоё будущее."
S3,Чувство вины и стыда,shame_support,guilt,medium,soft,situational,"Ты уже сделал шаг к изменениям."
S3,Чувство вины и стыда,shame_support,shame,medium,soft,situational,"Ты достоин уважения прямо сейчас."
S3,Чувство вины и стыда,shame_support,self_criticism,medium,neutral,situational,"Мягкость к себе — это сила."
S3,Чувство вины и стыда,shame_support,shame,medium,soft,situational,"Ты не сломан как человек."
S3,Чувство вины и стыда,shame_support,guilt,medium,neutral,situational,"Твоя ценность не исчезла."
S3,Чувство вины и стыда,shame_support,shame,medium,soft,situational,"Ты имеешь право на поддержку."
S4,Срыв уже произошёл,post_relapse_support,despair,high,soft,situational,"Срыв не стирает твой путь."
S4,Срыв уже произошёл,post_relapse_support,shame,high,soft,situational,"Это не конец восстановления."
S4,Срыв уже произошёл,post_relapse_support,hopelessness,high,neutral,situational,"Один эпизод не определяет тебя целиком."
S4,Срыв уже произошёл,post_relapse_support,despair,high,soft,situational,"Важно, что ты говоришь об этом."
S4,Срыв уже произошёл,post_relapse_support,shame,high,soft,situational,"Ты всё ещё достоин поддержки."
S4,Срыв уже произошёл,post_relapse_support,despair,high,neutral,situational,"Сейчас главное — безопасность и забота о себе."
S4,Срыв уже произошёл,post_relapse_support,hopelessness,high,soft,situational,"Ты можешь продолжить путь с этого момента."
S4,Срыв уже произошёл,post_relapse_support,shame,high,neutral,situational,"Самонаказание не помогает восстановлению."
S4,Срыв уже произошёл,post_relapse_support,despair,high,soft,situational,"Ты не провалился как человек."
